relative_id,timestamp,RU_IMU9_Acc_X,RU_IMU9_Acc_Y,RU_IMU9_Acc_Z,RU_IMU9_Gyro_X,RU_IMU9_Gyro_Y,RU_IMU9_Gyro_Z,RU_IMU9_Magn_X,RU_IMU9_Magn_Y,RU_IMU9_Magn_Z
0,1727262969.5398648,-0.014357448555529118,-0.2703986167907715,-9.526166915893555,-0.3499999940395355,-1.8200000524520874,-1.2599999904632568,-30.30000114440918,-99.9000015258789,112.05000305175781
1,1727262969.5655057,0.040679436177015305,-0.26800569891929626,-9.528559684753418,-0.3499999940395355,-1.8200000524520874,-1.4700000286102295,-29.400001525878906,-97.95000457763672,110.85000610351562
2,1727262969.591147,0.028714897111058235,-0.27757734060287476,-9.509416580200195,-0.42000001668930054,-1.8899999856948853,-1.4700000286102295,-30.750001907348633,-98.85000610351562,113.25000762939453
3,1727262969.616788,-0.023929081857204437,-0.30629223585128784,-9.533346176147461,-0.3499999940395355,-1.8899999856948853,-1.3300000429153442,-30.600000381469727,-98.10000610351562,111.60000610351562
4,1727262969.630128,0.01914326474070549,-0.29911351203918457,-9.528559684753418,-0.21000000834465027,-1.8200000524520874,-1.2599999904632568,-30.150001525878906,-97.80000305175781,111.60000610351562
5,1727262969.6557689,0.007178724277764559,-0.25604116916656494,-9.502238273620605,-0.2800000011920929,-1.8200000524520874,-1.3300000429153442,-31.500001907348633,-97.05000305175781,111.75000762939453
6,1727262969.68141,0.01914326474070549,-0.2919347882270813,-9.528559684753418,-0.3499999940395355,-1.6800000667572021,-1.3300000429153442,-29.250001907348633,-98.55000305175781,111.00000762939453
7,1727262969.707051,0.009571632370352745,-0.2536482512950897,-9.545310020446777,-0.3499999940395355,-1.75,-1.2599999904632568,-30.750001907348633,-97.35000610351562,112.6500015258789
8,1727262969.704656,0.03828652948141098,-0.2943277060985565,-9.533346176147461,-0.42000001668930054,-1.8200000524520874,-1.3300000429153442,-29.100000381469727,-98.55000305175781,113.10000610351562
9,1727262969.7302969,0.023929081857204437,-0.2703986167907715,-9.533346176147461,-0.2800000011920929,-1.75,-1.2599999904632568,-32.55000305175781,-97.95000457763672,111.45000457763672
10,1727262969.755938,0.021536173298954964,-0.30868515372276306,-9.533346176147461,-0.3499999940395355,-1.6800000667572021,-1.3300000429153442,-28.950000762939453,-97.6500015258789,112.80000305175781
11,1727262969.781579,-0.02632198855280876,-0.25843408703804016,-9.483095169067383,-0.2800000011920929,-1.6800000667572021,-1.3300000429153442,-31.350000381469727,-97.6500015258789,112.05000305175781
12,1727262969.7795358,-0.0047858161851763725,-0.284756064414978,-9.545310020446777,-0.3499999940395355,-1.8200000524520874,-1.3300000429153442,-30.150001525878906,-99.00000762939453,112.95000457763672
