time,RU_qw,RU_qx,RU_qy,RU_qz
1727262969.5398648,-0.001655412671503652,-0.5934780184783954,0.8047832201403574,-0.010250354743199864
1727262969.5655055,0.007976679563972695,-0.5936793533189628,0.8045777197353925,-0.01165722657015697
1727262969.591147,0.013108211459371317,-0.5938580270982172,0.8042225820794575,-0.019668678572795632
1727262969.616788,0.008193155625830511,-0.5941395110697,0.8042386729865659,-0.011457332130841732
1727262969.630128,0.010372515827365682,-0.5941183129673785,0.8040387105522653,-0.02091872476174948
1727262969.6557689,0.008100213738212994,-0.594097963307939,0.8042656365859489,-0.011780591570573967
1727262969.68141,0.00709292642443947,-0.5939139982075305,0.8042072188525897,-0.021600978525655207
1727262969.707051,0.007643646081088906,-0.5937328656095484,0.8045320892938702,-0.012287239970837818
1727262969.704656,0.016652641464797134,-0.5933667408358073,0.8046310260532853,-0.014405287729659474
1727262969.7302969,0.006837613769619669,-0.5933611941797376,0.8048102309944559,-0.012499294627449474
1727262969.755938,0.015886951248862663,-0.5931192230093282,0.8048739773895013,-0.011622073740585335
1727262969.781579,0.00587408439333517,-0.5933000383557328,0.804856508735151,-0.01290581133792081
1727262969.7795358,0.014942213455669,-0.5932970078612426,0.8047638418904685,-0.01142582625611434
1727262969.8051767,0.005210547731932582,-0.5936886864267398,0.804566434347621,-0.013395765091269784
1727262969.830818,0.014447296610471758,-0.5938093892818131,0.8043928895699928,-0.011565640088067063
1727262969.856459,0.00496639538715718,-0.5941713774810004,0.8042091332869789,-0.013541751622121736
1727262969.8694198,0.014351674224566688,-0.5941105712563376,0.8041767843938674,-0.011240907897463296
1727262969.8950608,0.005177305002363517,-0.5941985571950655,0.804188804967216,-0.01347724399184235
1727262969.920702,0.014760728416665215,-0.5938904426967576,0.8043345873886679,-0.011051447885229073
1727262969.946343,0.00574740324501956,-0.593877388000762,0.8044256795902762,-0.013264290145116812
1727262969.9444249,0.01536499452380133,-0.593648218678767,0.8045061498236563,-0.010750083661401011
1727262969.9700658,0.006222139171076446,-0.5938539026030615,0.8044489906546873,-0.012674730052521285
1727262969.995707,0.015853281210629257,-0.5938285185174541,0.8043576748699987,-0.011184585282967343
1727262970.021348,0.006439560907896694,-0.5941421894267435,0.8042437332780727,-0.012066825657870709
1727262970.019838,0.016105472482737974,-0.5941155211164778,0.8041197142419405,-0.012603431757403378
1727262970.0454788,0.006789779071231448,-0.5944214238258642,0.80404209947302,-0.011548682696083517
1727262970.07112,0.015933605444441053,-0.5944674413365063,0.8038230871246839,-0.014934055501142218
1727262970.096761,0.00727330876444378,-0.594900170988497,0.8036863915673332,-0.011360877912952828
1727262970.0945218,0.013950428828047264,-0.5950958502301094,0.8033270271420967,-0.018220923068211943
