relative_id,timestamp,CHS_IMU9_Acc_X,CHS_IMU9_Acc_Y,CHS_IMU9_Acc_Z,CHS_IMU9_Gyro_X,CHS_IMU9_Gyro_Y,CHS_IMU9_Gyro_Z,CHS_IMU9_Magn_X,CHS_IMU9_Magn_Y,CHS_IMU9_Magn_Z,RF_IMU9_Acc_X,RF_IMU9_Acc_Y,RF_IMU9_Acc_Z,RF_IMU9_Gyro_X,RF_IMU9_Gyro_Y,RF_IMU9_Gyro_Z,RF_IMU9_Magn_X,RF_IMU9_Magn_Y,RF_IMU9_Magn_Z,LU_IMU9_Acc_X,LU_IMU9_Acc_Y,LU_IMU9_Acc_Z,LU_IMU9_Gyro_X,LU_IMU9_Gyro_Y,LU_IMU9_Gyro_Z,LU_IMU9_Magn_X,LU_IMU9_Magn_Y,LU_IMU9_Magn_Z,LF_IMU9_Acc_X,LF_IMU9_Acc_Y,LF_IMU9_Acc_Z,LF_IMU9_Gyro_X,LF_IMU9_Gyro_Y,LF_IMU9_Gyro_Z,LF_IMU9_Magn_X,LF_IMU9_Magn_Y,LF_IMU9_Magn_Z,RU_IMU9_Acc_X,RU_IMU9_Acc_Y,RU_IMU9_Acc_Z,RU_IMU9_Gyro_X,RU_IMU9_Gyro_Y,RU_IMU9_Gyro_Z,RU_IMU9_Magn_X,RU_IMU9_Magn_Y,RU_IMU9_Magn_Z
5089,1720095588.5946815,9.105015754699709,0.3230426013469696,3.653970718383789,3.3600001335144043,-7.980000019073486,2.6600000858306885,170.18218994140625,-219.5723419189453,164.74874877929688,-6.51110315322876,-3.6156840324401855,5.300291538238525,-36.88999938964844,-39.40999984741211,-134.1199951171875,4.5,7.050000190734863,-7.050000190734863,9.523774147033691,2.294798851013184,1.4764243364334106,0.6299999952316284,-0.4200000166893005,7.070000171661377,28.156105041503903,-155.77432250976562,-98.73621368408205,3.5534684658050537,7.434765338897705,5.463009357452393,5.110000133514404,-0.7699999809265137,0.2800000011920929,59.92646408081055,-151.50209045410156,120.63844299316406,5.884160995483398,-8.437394142150879,3.2232472896575928,16.309999465942383,-26.11000061035156,-18.059999465942383,150.50323486328125,-128.63455200195312,-197.08053588867188
5090,1720095588.5691388,9.174409866333008,0.1531461179256439,3.701828718185425,3.920000076293945,-10.779999732971191,3.569999933242798,168.3160858154297,-218.21578979492188,163.03912353515625,-5.601798057556152,-4.472345352172852,5.93680477142334,-41.22999954223633,-43.81999969482422,-131.1800079345703,6.0,5.400000095367432,-4.050000190734863,9.530953407287598,2.2373690605163574,1.42378032207489,2.0999999046325684,-0.3499999940395355,7.769999980926514,30.867095947265625,-156.50753784179688,-99.16472625732422,3.5462896823883057,7.619019508361816,5.424722671508789,4.900000095367432,-0.5600000023841858,0.3499999940395355,59.92646408081055,-151.50209045410156,120.63844299316406,5.771694183349609,-8.233996391296387,3.0653152465820312,18.059999465942383,-24.149999618530277,-15.470000267028809,152.51583862304688,-128.71890258789062,-197.529541015625
5091,1720095588.569186,9.277304649353027,0.1220383122563362,3.5462896823883057,6.720000267028809,-10.149999618530272,3.849999904632568,167.59710693359375,-219.1711578369141,161.6129150390625,-5.9200544357299805,-4.283305644989014,5.958341121673584,-46.900001525878906,-46.68999862670898,-131.80999755859375,7.050000190734863,4.200000286102295,-5.100000381469727,9.45438003540039,2.206261157989502,1.4716384410858154,2.5899999141693115,-0.1400000005960464,7.769999980926514,28.69566345214844,-155.61727905273438,-99.97366333007812,3.5223608016967773,7.602269172668457,5.4486517906188965,3.5,-0.9800000190734864,0.3499999940395355,59.92646408081055,-151.50209045410156,120.63844299316406,5.85066032409668,-8.121530532836914,2.8762755393981934,16.59000015258789,-24.780000686645508,-9.59000015258789,150.23223876953125,-127.29268646240234,-199.3642120361328
5092,1720095588.569114,9.428057670593262,0.3709007501602173,3.259140729904175,11.130000114440918,-8.050000190734863,2.799999952316284,168.74005126953125,-216.68418884277344,164.14889526367188,-4.807352542877197,-5.6807637214660645,6.180881500244141,-52.709999084472656,-49.0,-131.1800079345703,9.450000762939451,5.100000381469727,-6.750000476837158,9.46155834197998,2.278048515319824,1.42378032207489,3.150000095367432,-0.6299999952316284,7.420000076293945,30.77376365661621,-155.96762084960938,-99.6291275024414,3.5726118087768555,7.475444793701172,5.381650447845459,2.450000047683716,-1.3300000429153442,0.1400000005960464,59.92646408081055,-151.50209045410156,120.63844299316406,5.606583595275879,-8.41107177734375,2.715950727462769,12.880000114440918,-31.5,-6.230000019073486,151.71939086914062,-127.53108215332033,-198.15475463867188
5093,1720095588.594755,9.463951110839844,0.2321120798587799,3.381179094314575,7.980000019073486,-8.890000343322754,3.009999990463257,169.41183471679688,-220.25872802734372,162.95001220703125,-3.9506912231445312,-7.190688610076904,6.008592128753662,-43.04999923706055,-45.290000915527344,-130.05999755859375,9.450000762939451,4.350000381469727,-7.050000190734863,9.483095169067385,2.3163349628448486,1.4213874340057373,3.220000028610229,-0.7699999809265137,7.139999866485596,28.145824432373047,-156.33604431152344,-101.35906219482422,3.584576368331909,7.40365743637085,5.350542545318604,3.220000028610229,-1.0499999523162842,-0.2800000011920929,59.92646408081055,-151.50209045410156,120.63844299316406,5.886553764343262,-8.068885803222656,2.902597427368164,18.549999237060547,-35.349998474121094,-0.3499999940395355,149.92230224609375,-123.23995971679688,-197.38204956054688
5094,1720095588.5692618,9.298840522766112,0.2416837215423584,3.548682689666748,8.1899995803833,-8.609999656677246,3.220000028610229,170.1629180908203,-219.85617065429688,163.01634216308594,-4.833674430847168,-6.81500244140625,6.054057598114014,-15.75,-42.0,-126.9800033569336,12.0,4.800000190734863,-6.450000286102295,9.514202117919922,2.2804415225982666,1.366350531578064,3.150000095367432,-0.9800000190734864,6.860000133514404,29.21548843383789,-156.5047607421875,-100.27465057373048,3.603719472885132,7.451515674591064,5.333792209625244,4.96999979019165,0.0,-0.7699999809265137,59.92646408081055,-151.50209045410156,120.63844299316406,5.814766883850098,-7.453908920288086,2.928919553756714,28.21000099182129,-31.780000686645508,1.0499999523162842,152.88339233398438,-122.67918395996094,-196.8819122314453
5095,1720095588.5693128,9.20073127746582,0.1579319387674331,3.596540927886963,10.920000076293944,-9.65999984741211,3.990000009536743,167.61715698242188,-222.3667755126953,160.62574768066406,-4.568061351776123,-5.056214809417725,5.874589443206787,-19.11000061035156,-47.040000915527344,-124.04000091552734,13.350000381469728,3.450000047683716,-9.300000190734863,9.576417922973633,2.21343994140625,1.3256710767745972,3.430000066757202,-0.6299999952316284,7.0,30.647003173828125,-156.19529724121094,-98.40696716308594,3.510396242141724,7.506552696228027,5.374471664428711,5.949999809265137,1.1200000047683716,-1.3300000429153442,59.92646408081055,-151.50209045410156,120.63844299316406,6.063629150390625,-7.602269172668457,2.68245005607605,28.700000762939453,-25.82999992370605,-0.8400000333786011,151.68104553222656,-119.53955078125,-195.33599853515625
5096,1720095588.5692108,9.20073127746582,0.1340028494596481,3.4314301013946533,12.109999656677246,-10.989999771118164,4.269999980926514,168.34259033203125,-219.8101348876953,163.0366973876953,-3.117959260940552,-7.458694458007812,5.977484226226807,-46.060001373291016,-48.650001525878906,-116.9000015258789,12.90000057220459,3.3000001907348637,-9.450000762939451,9.57402515411377,2.263690948486328,1.3256710767745972,3.5,-0.4200000166893005,7.210000038146973,28.644607543945312,-159.58843994140625,-100.39690399169922,3.4098939895629883,7.633376598358154,5.415151119232178,5.25,0.9100000262260436,-1.5399999618530271,59.92646408081055,-151.50209045410156,120.63844299316406,5.996627807617188,-7.944454669952393,2.483838558197021,22.61000061035156,-28.420000076293945,-2.5899999141693115,150.9106903076172,-120.2259521484375,-197.1347503662109
5097,1720095588.5948515,9.420879364013672,0.2967205941677093,3.26392674446106,11.760000228881836,-11.6899995803833,3.569999933242798,168.0394744873047,-217.91546630859372,162.1129150390625,-2.529303789138794,-8.243568420410156,6.4393157958984375,-60.34000015258789,-45.0099983215332,-116.83000183105467,14.250000953674316,3.3000001907348637,-10.5,9.581204414367676,2.206261157989502,1.3424214124679563,3.7799999713897705,-0.2100000083446502,7.630000114440918,29.381999969482425,-158.9089813232422,-99.5804672241211,3.479288339614868,7.583125591278076,5.436686992645264,4.409999847412109,0.2800000011920929,-1.399999976158142,59.92646408081055,-151.50209045410156,120.63844299316406,6.1019158363342285,-7.39647912979126,2.9839563369750977,15.119999885559082,-30.65999984741211,0.0700000002980232,154.38644409179688,-121.3143081665039,-194.4070587158203
5098,1720095588.5693858,9.428057670593262,0.3230426013469696,3.3476784229278564,8.609999656677246,-10.289999961853027,3.289999961853028,169.56082153320312,-221.34649658203125,162.75619506835938,-3.139495372772217,-9.562060356140137,6.307705879211426,-36.68000030517578,-40.11000061035156,-112.41999816894533,14.40000057220459,3.6000001430511475,-9.600000381469728,9.600347518920898,2.2230117321014404,1.356778860092163,4.269999980926514,-0.2100000083446502,8.260000228881836,27.433300018310547,-155.69012451171875,-101.800537109375,3.505610466003418,7.5998759269714355,5.436686992645264,4.409999847412109,0.0700000002980232,-1.399999976158142,59.92646408081055,-151.50209045410156,120.63844299316406,5.984663009643555,-7.274440765380859,3.1012089252471924,22.61000061035156,-28.0,1.3300000429153442,152.73219299316406,-123.9523696899414,-194.86361694335935
