relative_id,timestamp,RU_IMU9_Acc_X,RU_IMU9_Acc_Y,RU_IMU9_Acc_Z,RU_IMU9_Gyro_X,RU_IMU9_Gyro_Y,RU_IMU9_Gyro_Z,RU_IMU9_Magn_X,RU_IMU9_Magn_Y,RU_IMU9_Magn_Z,RF_IMU9_Acc_X,RF_IMU9_Acc_Y,RF_IMU9_Acc_Z,RF_IMU9_Gyro_X,RF_IMU9_Gyro_Y,RF_IMU9_Gyro_Z,RF_IMU9_Magn_X,RF_IMU9_Magn_Y,RF_IMU9_Magn_Z
35,1726865371.508218,9.743921279907227,-0.2321120798587799,0.5623334050178528,0.9100000262260437,-4.480000019073486,-0.2800000011920929,55.18326950073242,-6.147092342376709,48.727203369140625,9.82528018951416,-1.170132040977478,0.7872667908668518,0.42000001668930054,-2.380000114440918,-1.190000057220459,19.350000381469727,-83.4000015258789,-28.200000762939453
36,1726865371.533859,9.71520709991455,-0.19621846079826355,0.588655412197113,0.9100000262260437,-4.269999980926514,-0.07000000029802322,56.26795196533203,-5.272299766540527,48.734825134277344,9.858781814575195,-1.1581674814224243,0.7729093432426453,0.07000000029802322,-1.9600000381469727,-1.3300000429153442,21.150001525878906,-84.30000305175781,-26.700000762939453
37,1726865371.531652,9.74870777130127,-0.26800569891929626,0.5072965025901794,1.399999976158142,-4.480000019073486,-0.49000000953674316,59.31974411010742,-7.892273902893066,50.35273361206055,9.777422904968262,-1.1462029218673706,0.6939433217048645,-0.49000000953674316,-1.8200000524520874,-1.5399999618530273,19.650001525878906,-85.05000305175781,-27.750001907348633
38,1726865371.557293,9.676919937133789,-0.2416837215423584,0.4809745252132416,2.5199999809265137,-4.829999923706055,-0.8400000333786011,56.34626770019531,-6.85573673248291,50.276023864746094,9.75588607788086,-1.2036327123641968,0.7729093432426453,-0.49000000953674316,-2.1700000762939453,-1.2599999904632568,20.25,-84.1500015258789,-26.850000381469727
39,1726865371.5829341,9.746315002441406,-0.18425391614437103,0.5025107264518738,3.009999990463257,-4.619999885559082,-0.7699999809265137,56.34626770019531,-6.85573673248291,50.276023864746094,9.798958778381348,-1.1557745933532715,0.7848738431930542,-0.07000000029802322,-2.309999942779541,-0.8400000333786011,18.900001525878906,-84.45000457763672,-27.750001907348633
40,1726865371.608575,9.684099197387695,-0.12443122267723083,0.5575475692749023,2.870000123977661,-4.480000019073486,-0.699999988079071,59.66318130493164,-7.138186931610107,51.74578094482422,9.846817016601562,-1.1557745933532715,0.7753022313117981,0.14000000059604645,-2.1700000762939453,-0.9100000262260437,21.150001525878906,-84.30000305175781,-25.950000762939453
41,1726865371.6664448,9.696063995361328,-0.16750356554985046,0.5647262930870056,2.450000047683716,-4.619999885559082,-0.5600000023841858,58.94419860839844,-8.093554496765137,50.3195686340332,9.820494651794434,-1.1557745933532715,0.7489802241325378,0.2800000011920929,-2.0999999046325684,-1.4700000286102295,20.400001525878906,-83.70000457763672,-26.55000114440918
42,1726865371.6920857,9.727170944213867,-0.15793193876743317,0.588655412197113,1.9600000381469727,-4.900000095367432,-0.7699999809265137,55.808380126953125,-9.451681137084961,47.296112060546875,9.798958778381348,-1.1677391529083252,0.7250511646270752,0.14000000059604645,-2.1700000762939453,-1.6100000143051147,20.55000114440918,-84.30000305175781,-27.30000114440918
43,1726865371.717727,9.743921279907227,-0.13639576733112335,0.5551546812057495,1.75,-4.480000019073486,-0.8400000333786011,60.66263198852539,-7.0419087409973145,51.896339416503906,9.803744316101074,-1.1988469362258911,0.679585874080658,0.42000001668930054,-2.0999999046325684,-1.6100000143051147,20.55000114440918,-84.75,-27.000001907348633
44,1726865371.743368,9.686491966247559,-0.13878867030143738,0.5360113978385925,1.75,-4.409999847412109,-0.8400000333786011,56.52954864501953,-6.616151332855225,50.737823486328125,9.765458106994629,-1.170132040977478,0.7753022313117981,0.14000000059604645,-2.0299999713897705,-1.4700000286102295,20.400001525878906,-85.80000305175781,-26.850000381469727
