time,RU_qw,RU_qx,RU_qy,RU_qz,RF_qw,RF_qx,RF_qy,RF_qz
1726865370.8277378,0.14084394942234263,-0.7150242173218543,-0.13234059469543347,-0.6718551313713733,0.3631733351145641,-0.6636779798464999,-0.31391749557408666,-0.5736658205794787
1726865370.8533788,0.14046353900777006,-0.7150912607686163,-0.131986101318172,-0.6719331455141891,0.3631544134825916,-0.6636744038331858,-0.31391299673653467,-0.5736843976827928
1726865370.87902,0.13972263252323022,-0.7152212599591034,-0.13129561860451575,-0.6720845153688252,0.36311696218196293,-0.6636673309212717,-0.3139040838612209,-0.5737211620454886
1726865370.904661,0.1386594001341764,-0.7154065017775755,-0.1303046151292585,-0.6723003906326531,0.36306178396151834,-0.6636569222481762,-0.3138909320120024,-0.5737753161119731
1726865370.9027998,0.13732710453854455,-0.7156364975182563,-0.1290625875179494,-0.6725685974545899,0.36299012561075605,-0.6636434247115288,-0.3138738174766409,-0.5738456240565761
1726865370.9284408,0.1357897283831953,-0.7158990868911957,-0.12762900087758833,-0.6728747916135354,0.36290371623222695,-0.663627172386494,-0.3138531331523784,-0.5739303787268812
1726865370.954082,0.13411680532284256,-0.716181632206514,-0.12606848898452205,-0.6732037494734916,0.3628047958817766,-0.6636085827806951,-0.3138294048915285,-0.574027380505851
1726865370.979723,0.13237794783175186,-0.7164721404233286,-0.12444577168058828,-0.673540645273833,0.3626961151917991,-0.663588146901316,-0.3138033018132841,-0.5741339452496567
1726865370.9923158,0.13063759793509508,-0.7167601808851968,-0.1228207781463503,-0.6738721819148595,0.362580883997333,-0.663566414945724,-0.3137756300097883,-0.5742469586578167
1726865371.0179567,0.12895050569058186,-0.7170375148536837,-0.12124444572475261,-0.6741874767121486,0.3624626486708785,-0.6635439820638774,-0.31374729737507595,-0.5743629911259426
1726865371.043598,0.12735836248860136,-0.7172984064734589,-0.11975559250976156,-0.6744786443153664,0.36234508531815746,-0.6635214801025902,-0.31371923894451587,-0.5744784797573526
1726865371.069239,0.12588789014535923,-0.7175396314379149,-0.11837914504014936,-0.6747410573325552,0.3622317091613181,-0.6634995807735017,-0.31369229784301045,-0.5745899733422347
1726865371.096427,0.12455052417698143,-0.7177602323604138,-0.11712585078050446,-0.6749732963963145,0.36212551862226683,-0.6634790126652562,-0.3136670669839915,-0.574694422806548
1726865371.122068,0.12334365165557498,-0.7179610867251436,-0.11599343827857028,-0.675176824114272,0.3620286120749949,-0.6634605897439415,-0.3136437088394497,-0.5747894865088511
1726865371.1477091,0.12225319288830153,-0.7181443575393803,-0.11496902704482197,-0.6753554333707055,0.36194183211708975,-0.6634452432573656,-0.3136217825957987,-0.574873809495904
1726865371.17335,0.12125717320734455,-0.7183128936216869,-0.11403245498463897,-0.6755145327916932,0.36186450148333793,-0.663434044156733,-0.31360011606336496,-0.5749472313396259
1726865371.186802,0.12032983542713291,-0.7184696404142804,-0.113160101960472,-0.6756603420605278,0.3617943134295014,-0.6634282004023913,-0.3135767615466063,-0.5750108801569437
1726865371.2124429,0.11944580360452224,-0.71861711568464,-0.11232875208242339,-0.6757990770206511,0.3617274247952368,-0.6634290146951758,-0.3135490677780319,-0.575067121914583
1726865371.238084,0.11858382830888291,-0.7187569968846351,-0.11151905772283004,-0.6759362062041078,0.36165877411384423,-0.6634377931427492,-0.31351388502238126,-0.5751193525126096
1726865371.263725,0.11772971581162603,-0.7188898564283094,-0.11071823788768409,-0.6760758538347933,0.3615826128294163,-0.66345570415531,-0.3134678988539058,-0.5751716431738892
1726865371.2168798,0.11687815746678115,-0.7190150660346045,-0.1099217513233072,-0.6762204076397283,0.3614932013296359,-0.663483597696548,-0.3134080641853726,-0.5752282731956714
1726865371.2425208,0.11603331365547222,-0.7191308719850413,-0.10913381373546967,-0.6763703643564793,0.3613855894124914,-0.6635218059799699,-0.3133320891243106,-0.575293204096016
1726865371.268162,0.11520815443109193,-0.7192346219074683,-0.10836676503218609,-0.6765244149612502,0.36125637979714775,-0.6635699550093168,-0.31323890314933567,-0.5753695616024481
1726865371.293803,0.1144226987302729,-0.7193231047620839,-0.10763942051791289,-0.6766797411784137,0.3611043676030314,-0.6636268200132661,-0.31312903907111184,-0.5754591943374413
1726865371.365625,0.11370141379624069,-0.7193929527838869,-0.10697464917083248,-0.6768324699808613,0.3609309604145653,-0.66369025533361,-0.31300486506771596,-0.575562369542492
1726865371.391266,0.1130701245424109,-0.7194410498525531,-0.1063965023735262,-0.6769782175267534,0.3607403108622731,-0.6637572207562398,-0.31287062086359735,-0.5756776481794044
1726865371.416907,0.1125528312022589,-0.7194648951143596,-0.10592726104271684,-0.6771126496045009,0.3605391330396856,-0.6638239126910352,-0.3127322386539843,-0.5758019567464358
1726865371.442548,0.11216883810916255,-0.7194628815350917,-0.10558477371373229,-0.6772319908349597,0.36033621848855235,-0.6638859926729942,-0.3125969599278923,-0.5759308456939973
1726865371.381846,0.11193055281193932,-0.7194344633061944,-0.10538041867678967,-0.6773334272823438,0.3601417102062327,-0.6639388902552222,-0.31247278920343563,-0.5760588985371367
1726865371.407487,0.11184222679936073,-0.7193802004179198,-0.1053179426695193,-0.6774153633503551,0.3599662271094877,-0.6639781454195893,-0.31236784983096266,-0.5761802358096852
1726865371.433128,0.11189978300689231,-0.719301681629977,-0.10539331202902853,-0.6774775119122771,0.3598199513872972,-0.6639997492312928,-0.31228972154356416,-0.5762890467661747
1726865371.458769,0.11209172659958468,-0.719201338090197,-0.10559557379970652,-0.677520815112794,0.3597117946401331,-0.6640004413832743,-0.3122448423154313,-0.5763800804044177
1726865371.456936,0.11240098169913987,-0.7190821700327438,-0.10590858036021981,-0.6775472121263232,0.3596487446038188,-0.6639779296840184,-0.31223804723604776,-0.5764490361303777
1726865371.4825768,0.1128073626387422,-0.7189474187448461,-0.10631330518905753,-0.6775592882946794,0.35963546611779956,-0.6639310075077975,-0.3122722971014033,-0.5764928110938824
1726865371.508218,0.11329029647358817,-0.7188002245584486,-0.10679039088989721,-0.677559855889672,0.3596741915207528,-0.6638595593411226,-0.31234862171366745,-0.5765095835620391
1726865371.533859,0.11383138148628759,-0.7186433168494486,-0.10732254035595364,-0.6775515272420918,0.3597648934953513,-0.6637644592835179,-0.312466272416672,-0.5764987359937295
1726865371.531652,0.11441640391978602,-0.7184787806659574,-0.10789639714769554,-0.6775363427369563,0.3599056937769362,-0.6636473807803004,-0.31262304969787136,-0.5764606442490168
1726865371.557293,0.11503653610741937,-0.7183079348641287,-0.10850365607953036,-0.6775155073420919,0.36009343016936646,-0.6635105461728422,-0.31281574922523364,-0.5763963772465368
1726865371.582934,0.1156885890099178,-0.7181313383141712,-0.10914128591535496,-0.6774892700351308,0.3603242864352894,-0.6633564507078841,-0.3130406566069262,-0.5763073617612764
1726865371.608575,0.11637435928307023,-0.7179489177064026,-0.10981090313439898,-0.6774569548085455,0.3605943871393839,-0.6631875968983872,-0.3132940190100301,-0.5761950684761691
1726865371.6664448,0.1170992654526253,-0.7177601876492312,-0.11051748080903334,-0.6774171251834582,0.3609002724743332,-0.6630062714040112,-0.31357243063040824,-0.5760607677627774
1726865371.6920855,0.11787057757269288,-0.7175645171348394,-0.11126767966753194,-0.6773678425738324,0.361239193593751,-0.662814388861462,-0.31387308663809077,-0.5759053884226302
1726865371.717727,0.11869558853984455,-0.7173613900641405,-0.1120681293912314,-0.6773069670992424,0.36160920231202665,-0.6626134164623049,-0.3141938835052721,-0.5757294926398051
1726865371.743368,0.11958004729424467,-0.7171506125939954,-0.11292396166541248,-0.6772324490357441,0.36200904446244486,-0.6624043811252232,-0.31453336868632115,-0.5755333592211076
1726865371.6970348,0.1205270849405928,-0.7169324346119272,-0.1138378122784611,-0.6771425688086607,0.36243789745341237,-0.6621879497649524,-0.314890565182273,-0.575317148740438
1726865371.7226758,0.12153673784113996,-0.716707572807397,-0.11480938962752855,-0.6770360998416687,0.36289501452665046,-0.6619645639664884,-0.31526471319560556,-0.5750811117555954
1726865371.748317,0.12260603867684113,-0.7164771436644731,-0.11583558117191904,-0.6769123872562347,0.36337934810039135,-0.6617346043622052,-0.315654979897608,-0.5748257965936906
1726865371.773958,0.12372953840540912,-0.7162425317343644,-0.11691096699246513,-0.6767713519776227,0.36388922115173167,-0.6614985579961702,-0.3160601881778484,-0.5745522169024819
1726865371.771906,0.12490006044721996,-0.7160052285991819,-0.11802855107039381,-0.6766134410807529,0.3644221010668966,-0.6612571636569026,-0.3164786073647285,-0.5742619496770607
1726865371.7975469,0.1261094822333342,-0.7157666793818246,-0.11918051482541699,-0.6764395494525031,0.36497450842742457,-0.6610115149743162,-0.31690783540821194,-0.5739571492075003
1726865371.823188,0.12734938056129738,-0.7155281672252504,-0.12035883655327287,-0.676250935408943,0.3655420683997667,-0.6607631081353689,-0.31734478563379603,-0.5736404781641086
1726865371.848829,0.12861144846573558,-0.7152907540613244,-0.12155568815257536,-0.6760491455180467,0.366119689606602,-0.6605138290298912,-0.31778577511793343,-0.5733149707406315
1726865371.847262,0.1298876679886421,-0.7150552817538403,-0.12276359374028824,-0.6758359547940446,0.3667018382006819,-0.6602658825049509,-0.31822669833346084,-0.5729838520656442
1726865371.8729029,0.13117028445683518,-0.7148224249949026,-0.12397539353774513,-0.6756133206184445,0.3672828646890393,-0.6600216734213634,-0.3186632601124341,-0.5726503423332523
1726865371.898544,0.1324516596882283,-0.7145927790049346,-0.12518408743961779,-0.6753833446952543,0.36785733852060026,-0.6597836545633823,-0.31909123699482506,-0.5723174732092673
1726865371.924185,0.13372408185197104,-0.7143669623341021,-0.12638263380964881,-0.6751482377446683,0.3684203489529926,-0.6595541598799862,-0.3195067351092543,-0.5719879394551824
1726865371.981818,0.13497958708771762,-0.7141457172056908,-0.12756375826423458,-0.6749102853297635,0.3689677381005259,-0.659335243005293,-0.3199064148943954,-0.5716640020864948
1726865372.007459,0.13620981574438096,-0.7139299950196627,-0.12871979700407418,-0.6746718181199924,0.36949624170374223,-0.6591285404162615,-0.32028765756819916,-0.5713474520683666
1726865372.0331,0.1374059003353321,-0.7137210201419681,-0.12984257478040456,-0.6744351931319571,0.3700035236494228,-0.6589351759732354,-0.32064865467991943,-0.5710396366313727
1726865372.058741,0.1385583734919056,-0.7135203287368197,-0.13092330871607152,-0.6742027920807021,0.370488100814472,-0.6587557192809802,-0.32098840977399773,-0.5707415441863718
1726865372.0113368,0.13965709272065566,-0.7133297804987959,-0.1319525363653008,-0.6739770388174346,0.3709491657989118,-0.658590204341934,-0.3213066503293763,-0.5704539381861229
1726865372.0369778,0.14069120093032772,-0.7131515398677637,-0.13292008615724935,-0.6737604306138563,0.37138632580415937,-0.6584382081816939,-0.32160365776856903,-0.570177525269143
1726865372.062619,0.14164916634402022,-0.7129880211968724,-0.133815130371004,-0.6735555702298094,0.37179928652112404,-0.658298981835026,-0.3218800333101833,-0.5699131383058182
1726865372.08826,0.14251895926920885,-0.7128417916519802,-0.13462637268836306,-0.6733651803442099,0.3721875185207253,-0.6581716195330223,-0.32213642600309844,-0.5696619114357336
1726865372.0871978,0.14328841944257287,-0.7127154277407409,-0.13534241789067872,-0.6731920809349193,0.3725499494544012,-0.6580552466887423,-0.32237325565687447,-0.5694254222495946
1726865372.1128387,0.14394584330719018,-0.7126113270701517,-0.13595234773725376,-0.6730391146661744,0.3728847258208367,-0.6579492044751032,-0.32259046565502864,-0.5692057774202315
1726865372.13848,0.1444807822174904,-0.7125314850951635,-0.1364464908203324,-0.6729090142513472,0.3731890831500305,-0.6578532083933785,-0.3227873388876207,-0.569005622360646
1726865372.164121,0.14488499959369464,-0.7124772555252595,-0.13681733408807867,-0.6728042169494483,0.37345935218666254,-0.6577674607387273,-0.3229624035255705,-0.5688280634485537
